date,fund_nav,benchmark_nav
2024-01-02,100.00,1000.00
2024-01-03,100.50,1002.00
2024-01-04,100.80,1003.00
2024-01-05,101.20,1004.50
2024-01-08,101.50,1005.00
2024-01-09,101.80,1006.00
2024-01-10,102.00,1007.00
2024-01-11,102.30,1008.00
2024-01-12,102.50,1009.00
2024-01-15,103.00,1010.00
2024-01-15,103.20,1010.50
2024-01-16,103.50,1011.00
2024-01-17,103.80,1012.00
2024-01-18,104.00,1012.50
2024-01-19,104.20,1013.00
2024-01-23,104.80,1015.00
2024-01-22,104.50,1014.00
2024-01-24,105.00,1015.50
2024-01-25,105.20,1016.00
2024-01-26,105.50,1017.00
2024-01-29,105.80,1018.00
2024-01-30,106.00,1018.50
2024-01-31,106.30,1019.00
2024-02-01,106.50,1020.00
2024-02-02,106.80,1020.50
2024-02-05,,1021.00
2024-02-06,107.20,1022.00
2024-02-07,107.50,N.A.
2024-02-08,107.80,1023.00
2024-02-09,108.00,1024.00
2024-02-12,108.30,1025.00
2024-02-26,109.00,1028.00
2024-02-27,109.20,1028.50
2024-02-28,109.50,1029.00
2024-02-29,109.80,1030.00
2024-03-01,110.00,1031.00
2024-03-04,110.30,1032.00
2024-03-05,110.50,1032.50
2024-03-06,110.80,1033.00
2024-03-07,111.00,1034.00
2024-03-08,111.30,1035.00
2024-03-11,112.00,1036.00
2024-03-12,170.00,1037.00
2024-03-13,113.00,1038.00
2024-03-14,113.30,1039.00
2024-03-15,113.50,1040.00
