date,fund_nav,benchmark_nav
2024-01-02,100.00,1000.00
2024-01-03,100.20,1001.00
2024-01-04,100.40,1002.00
2024-01-09,100.80,1003.00
2024-01-10,101.00,1004.00
2024-01-11,101.20,1005.00
2024-01-12,101.40,1006.00
2024-01-15,101.60,1007.00
2024-01-16,101.80,1008.00
2024-01-17,102.00,1009.00
2024-01-18,102.20,1010.00
2024-01-19,102.40,1011.00
2024-01-22,102.60,1012.00
2024-01-23,102.80,1013.00
2024-01-24,103.00,1014.00
2024-01-25,103.20,1015.00
2024-01-26,103.40,1016.00
2024-01-29,103.60,1017.00
2024-01-30,103.80,1018.00
2024-01-31,104.00,1019.00
2024-02-01,104.20,1020.00
